method_mapped,category,size_total,x_model,y_model,x_past_rate,y_now_rate
theoretical studies,Mainstream,5158,0.8848348107372856,0.6481320768854775,0.3961485557083906,0.4340479909129632
bibliometrics,Mainstream,4869,0.8450827384758204,0.9063229280716575,0.4243466299862448,0.356950163282692
machine learning,Mainstream,1487,0.6705166662798959,0.9299999999999999,0.0388308115543328,0.1448246485872497
questionnaire,Mainstream,1449,0.7019757063484023,0.5771534020276482,0.1127922971114167,0.1154337640210137
statistical analysis,Mainstream,1334,0.8288674415332387,0.680062707042575,0.0976616231086657,0.1087604713900326
network analysis,Mainstream,1085,0.8413405733604935,0.8262882001042446,0.0316368638239339,0.1045009229021723
transaction log analysis,Mainstream,695,0.9238242996650541,0.8714589675510518,0.1045392022008253,0.0353542524492403
interview,Mainstream,680,0.7176868337958344,0.6199387022387715,0.0536451169188445,0.0516825216527048
content analysis,Mainstream,664,0.617302448252402,0.6518839527906855,0.0478266850068775,0.0540962657958256
text mining,Emerging,513,0.3337130741917295,0.6622817384247333,0.0103163686382393,0.0584977992332812
structural equation modeling,Emerging,391,0.32718330233333703,0.5783126926827793,0.0020632737276478,0.0481328979128212
patent analysis,Mainstream,387,0.6192621154330397,0.8394635397492849,0.0281980742778541,0.025699275876757
experiment,Declining,288,0.5700000000000001,0.3557401785533964,0.0199449793672627,0.0245633962799943
spatio-temporal method,Marginalized,172,0.3633223139751031,0.07178026010901704,0.0110041265474552,0.0164702541530597
case study,Marginalized,135,0.31035747687319215,0.1801218769967594,0.0089408528198074,0.0085190969757205
agent-based simulation and modeling,Marginalized,108,0.43,0.4017561194427885,0.0068775790921595,0.0093710066732926
qualitative comparative analysis,Declining,94,0.8930170289872739,0.10513113943237101,0.0123796423658872,0.0078091722277438
large language model,Emerging,93,0.12262974638932382,0.6643116366948895,0.0,0.0126366605139855
ethnography/field study,Marginalized,91,0.10037645287390068,0.1266865021742178,0.0068775790921595,0.0069572625301718
focus group,Marginalized,91,0.312065336949803,0.3510960227832451,0.0061898211829436,0.0069572625301718
grounded theory,Marginalized,70,0.1335524793293834,0.3731538262425456,0.0013755158184319,0.0061053528325997
observation,Declining,69,0.8243392694195384,0.07171268435653844,0.0096286107290233,0.0046855033366463
meta analysis,Marginalized,52,0.15816665130402735,0.42981488652514355,0.0013755158184319,0.0063893227317904
delphi study,Declining,35,0.7004783889062941,0.38426741932589065,0.0048143053645116,0.0028396989919068
