method_mapped,category,size_total,x_model,y_model,x_past_rate,y_now_rate
theoretical studies,Mainstream,5158,0.8277929935262502,0.6248843886673303,0.3961485557083906,0.4340479909129632
bibliometrics,Mainstream,4869,0.6407987729274159,0.8853031212946881,0.4243466299862448,0.356950163282692
machine learning,Emerging,1487,0.3804014989972671,0.8956239753817941,0.0388308115543328,0.1448246485872497
questionnaire,Mainstream,1449,0.5916988988043056,0.8369731223036194,0.1127922971114167,0.1154337640210137
statistical analysis,Mainstream,1334,0.836052728042268,0.9135376532623892,0.0976616231086657,0.1087604713900326
network analysis,Emerging,1085,0.21881016306260664,0.6545690289993935,0.0316368638239339,0.1045009229021723
transaction log analysis,Declining,695,0.9299999999999999,0.12644375437327662,0.1045392022008253,0.0353542524492403
interview,Mainstream,680,0.7668383641651945,0.836997957582223,0.0536451169188445,0.0516825216527048
content analysis,Mainstream,664,0.5743705380398405,0.680280508913912,0.0478266850068775,0.0540962657958256
text mining,Emerging,513,0.37718642281644443,0.683045058995827,0.0103163686382393,0.0584977992332812
structural equation modeling,Marginalized,391,0.11602281044623085,0.11505135637832734,0.0020632737276478,0.0481328979128212
patent analysis,Marginalized,387,0.4127038155002819,0.09820881881488272,0.0281980742778541,0.025699275876757
experiment,Marginalized,288,0.350157628956792,0.13219036625335234,0.0199449793672627,0.0245633962799943
spatio-temporal method,Marginalized,172,0.193777943398518,0.07,0.0110041265474552,0.0164702541530597
case study,Marginalized,135,0.2409179519051031,0.32368191175278577,0.0089408528198074,0.0085190969757205
agent-based simulation and modeling,Marginalized,108,0.2353984161121747,0.3802957450898443,0.0068775790921595,0.0093710066732926
qualitative comparative analysis,Marginalized,94,0.07,0.40836830251663825,0.0123796423658872,0.0078091722277438
large language model,Emerging,93,0.2948216938522993,0.5700000000000001,0.0,0.0126366605139855
ethnography/field study,Marginalized,91,0.43,0.3517558162905637,0.0068775790921595,0.0069572625301718
focus group,Marginalized,91,0.1686852054959272,0.16532696437085034,0.0061898211829436,0.0069572625301718
grounded theory,Marginalized,70,0.4170059990591539,0.17060781984046022,0.0013755158184319,0.0061053528325997
observation,Declining,69,0.8761946486158922,0.3504082393109056,0.0096286107290233,0.0046855033366463
meta analysis,Marginalized,52,0.3401344408539301,0.42757476178972864,0.0013755158184319,0.0063893227317904
delphi study,Declining,35,0.7255112296384297,0.15495462623001147,0.0048143053645116,0.0028396989919068
