method_mapped,entity_counts,freq_1995-2006,freq_2007-2018,freq_2019-2024,rate_1995-2006,rate_2007-2018,rate_2019-2024
agent-based simulation and modeling,108,16,46,46,0.005370929842228936,0.004900394162139128,0.006044678055190539
bibliometrics,4869,859,2587,1423,0.288351795904666,0.2755939064663897,0.18699080157687253
case study,135,26,69,40,0.00872776099362202,0.007350591243208693,0.005256241787122208
content analysis,634,87,298,249,0.02920443101711984,0.031746031746031744,0.032720105124835745
delphi study,35,8,15,12,0.002685464921114468,0.0015979546180888463,0.0015768725361366622
ethnography/field study,91,13,42,36,0.00436388049681101,0.0044742729306487695,0.004730617608409987
experiment,288,41,124,123,0.013763007720711649,0.013209758176201129,0.01616294349540079
focus group,91,16,50,25,0.005370929842228936,0.005326515393629488,0.0032851511169513796
grounded theory,70,3,32,35,0.0010070493454179255,0.003408969851922872,0.0045992115637319315
interview,680,108,337,235,0.03625377643504532,0.035900713753062745,0.03088042049934297
large language model,89,0,0,89,0.0,0.0,0.011695137976346913
machine learning,1487,119,623,745,0.03994629070157771,0.06636838180462341,0.09789750328515112
meta analysis,52,2,18,32,0.000671366230278617,0.0019175455417066154,0.004204993429697766
network analysis,1085,80,514,491,0.02685464921114468,0.05475657824651113,0.0645203679369251
observation,69,20,24,25,0.00671366230278617,0.002556727388942154,0.0032851511169513796
patent analysis,387,60,224,103,0.02014098690835851,0.023862788963460103,0.013534822601839684
qualitative comparative analysis,94,25,20,49,0.008392077878482713,0.002130606157451795,0.006438896189224704
questionnaire,1449,227,736,486,0.07620006713662303,0.07840630659422605,0.06386333771353482
spatio-temporal method,172,22,64,86,0.007385028533064787,0.006817939703845744,0.011300919842312747
statistical analysis,1334,214,622,498,0.07183618663981202,0.06626185149675083,0.06544021024967149
structural equation modeling,391,11,138,242,0.0036925142665323934,0.014701182486417386,0.03180026281208936
text mining,513,20,201,292,0.00671366230278617,0.02141259188239054,0.038370565045992115
theoretical studies,5158,794,2254,2110,0.26653239342061097,0.2401193139448173,0.27726675427069647
transaction log analysis,695,208,349,138,0.06982208794897617,0.03717907744753382,0.018134034165571616
