method_mapped,entity_counts,freq_1995-2009,freq_2010-2024,rate_1995-2009,rate_2010-2024
agent-based simulation and modeling,108,29,79,0.0061531932951410994,0.005175915612920134
bibliometrics,4869,1330,3539,0.28219817525991936,0.2318679158749918
case study,135,47,88,0.009972416719711436,0.005765576885278124
content analysis,634,140,494,0.029705071079991513,0.032365852060538554
delphi study,35,12,23,0.002546148949713558,0.0015069121404704187
ethnography/field study,91,31,60,0.006577551453426692,0.003931075149053266
experiment,288,65,223,0.013791640144281773,0.014610495970647973
focus group,91,26,65,0.00551665605771271,0.004258664744807705
grounded theory,70,10,60,0.0021217907914279654,0.003931075149053266
interview,680,179,501,0.037980055166560577,0.03282447749459477
large language model,89,0,89,0.0,0.0058310948044290115
machine learning,1487,236,1251,0.05007426267769998,0.0819629168577606
meta analysis,52,3,49,0.0006365372374283895,0.0032103780383935005
network analysis,1085,135,950,0.02864417568427753,0.062242023193343377
observation,69,27,42,0.005728835136855506,0.002751752604337286
patent analysis,387,98,289,0.02079354975599406,0.018934678634606565
qualitative comparative analysis,94,29,65,0.0061531932951410994,0.004258664744807705
questionnaire,1449,367,1082,0.07786972204540632,0.07089038852126056
spatio-temporal method,172,32,140,0.006789730532569488,0.009172508681124288
statistical analysis,1334,323,1011,0.06853384256312328,0.06623861626154753
structural equation modeling,391,23,368,0.00488011882028432,0.0241105942475267
text mining,513,39,474,0.008274984086569064,0.031055493677520803
theoretical studies,5158,1216,3942,0.25800976023764055,0.25827163729279956
transaction log analysis,695,316,379,0.0670485890091237,0.024831291358186465
