method_mapped,entity_counts,freq_1995-2001,freq_2002-2008,freq_2009-2015,freq_2016-2022,freq_2023-2024,rate_1995-2001,rate_2002-2008,rate_2009-2015,rate_2016-2022,rate_2023-2024
agent-based simulation and modeling,108,5,22,19,49,13,0.0041876046901172526,0.007567939456484348,0.003676470588235294,0.006081668114682885,0.004905660377358491
bibliometrics,4869,382,767,1455,1817,448,0.31993299832495814,0.26384588923288615,0.28154024767801855,0.22551818294650613,0.16905660377358492
case study,135,5,33,40,46,11,0.0041876046901172526,0.011351909184726523,0.007739938080495356,0.00570932108725332,0.004150943396226415
content analysis,634,31,90,163,272,78,0.025963149078726967,0.030959752321981424,0.03154024767801858,0.0337594638202805,0.02943396226415094
delphi study,35,4,8,6,13,4,0.0033500837520938024,0.0027519779841761265,0.0011609907120743034,0.0016135037855281122,0.0015094339622641509
ethnography/field study,91,6,20,18,39,8,0.005025125628140704,0.0068799449604403165,0.00348297213622291,0.004840511356584336,0.0030188679245283017
experiment,288,17,37,74,110,50,0.01423785594639866,0.012727898176814585,0.01431888544891641,0.013652724339084026,0.018867924528301886
focus group,91,4,20,25,35,7,0.0033500837520938024,0.0068799449604403165,0.004837461300309598,0.004344048653344918,0.0026415094339622643
grounded theory,70,1,8,21,28,12,0.0008375209380234506,0.0027519779841761265,0.004063467492260062,0.0034752389226759338,0.004528301886792453
interview,680,38,122,183,271,66,0.031825795644891124,0.04196766425868593,0.03541021671826625,0.033635348144470646,0.02490566037735849
large language model,89,0,0,0,0,89,0.0,0.0,0.0,0.0,0.033584905660377355
machine learning,1487,30,163,325,701,268,0.02512562814070352,0.05607155142758858,0.06288699690402477,0.08700508874270821,0.10113207547169811
meta analysis,52,1,2,6,32,11,0.0008375209380234506,0.0006879944960440316,0.0011609907120743034,0.003971701625915353,0.004150943396226415
network analysis,1085,18,98,286,519,164,0.01507537688442211,0.03371173030615755,0.055340557275541796,0.06441603574531464,0.061886792452830186
observation,69,6,18,15,24,6,0.005025125628140704,0.006191950464396285,0.0029024767801857586,0.002978776219436515,0.0022641509433962265
patent analysis,387,22,64,132,137,32,0.018425460636515914,0.022015823873409012,0.025541795665634675,0.017003847585950107,0.012075471698113207
qualitative comparative analysis,94,6,23,10,31,24,0.005025125628140704,0.007911936704506364,0.001934984520123839,0.0038475859501054983,0.009056603773584906
questionnaire,1449,99,220,396,600,134,0.0829145728643216,0.07567939456484347,0.07662538699690402,0.07446940548591287,0.050566037735849056
spatio-temporal method,172,4,22,34,84,28,0.0033500837520938024,0.007567939456484348,0.006578947368421052,0.010425716768027803,0.010566037735849057
statistical analysis,1334,84,193,356,513,188,0.07035175879396985,0.06639146886824905,0.06888544891640867,0.0636713416904555,0.0709433962264151
structural equation modeling,391,2,15,53,232,89,0.0016750418760469012,0.005159958720330237,0.010255417956656347,0.02879483678788631,0.033584905660377355
text mining,513,10,21,107,288,87,0.008375209380234505,0.007223942208462332,0.020704334365325077,0.03574531463323818,0.03283018867924528
theoretical studies,5158,346,729,1253,2034,796,0.2897822445561139,0.25077399380804954,0.24245356037151702,0.25245128459724464,0.300377358490566
transaction log analysis,695,73,212,191,182,37,0.06113902847571189,0.07292741658066736,0.03695820433436533,0.022589052997393572,0.013962264150943397
